未分组,#genre#
CCTV1,http://103.114.90.82:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 2,http://103.114.90.82:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://103.114.90.82:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 4A,http://103.114.90.82:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://103.114.90.82:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://103.114.90.82:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://103.114.90.82:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://103.114.90.82:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://103.114.90.82:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 10,http://103.114.90.82:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 11,http://103.114.90.82:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 12,http://103.114.90.82:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 12,http://103.114.90.82:9901/udp://@224.2.2.2:30014
CCTV 13,http://103.114.90.82:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 14,http://103.114.90.82:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 15,http://103.114.90.82:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 17,http://103.114.90.82:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
Phx Infonews Channel,http://103.114.90.82:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
Phx Chinese Channel,http://103.114.90.82:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
FJTV,http://103.114.90.82:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
JSWS,http://103.114.90.82:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
GZTV,http://103.114.90.82:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
JSYMKT,http://103.114.90.82:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
:HubeiTV,http://103.114.90.82:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏,http://103.114.90.82:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
SHANXI-TV,http://103.114.90.82:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
蒙古,http://103.114.90.82:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://103.114.90.82:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
河北,http://103.114.90.82:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CQTV,http://103.114.90.82:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
ZJTV,http://103.114.90.82:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
BTV_1,http://103.114.90.82:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
BTV_KAKU,http://103.114.90.82:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
安徽 卫视,http://103.114.90.82:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
安徽 卫视,http://103.114.90.82:9901/udp://@224.2.2.2:3008
sichuan,http://103.114.90.82:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
康巴,http://103.114.90.82:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
NMTV-M,http://103.114.90.82:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
Program1020,http://103.114.90.82:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
Program1010,http://103.114.90.82:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN A,http://103.114.90.82:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN R,http://103.114.90.82:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN E,http://103.114.90.82:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN F,http://103.114.90.82:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
BTV,http://103.114.90.82:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
柬埔寨,http://103.114.90.82:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://60.187.244.84:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://60.187.244.84:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://60.187.244.84:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
