4K欢笑剧场,rtp://232.0.0.98:1234
CCTV1,rtp://239.3.1.129:8008
CCTV1,rtp://232.0.0.27:1234
CCTV1,rtp://226.0.2.153:9136
CCTV1,rtp://226.0.2.18:8056
CCTV2,rtp://239.3.1.60:8084
CCTV2,rtp://232.0.0.135:1234
CCTV2,rtp://226.0.2.154:9144
CCTV2,rtp://226.0.2.19:8064
CCTV3,rtp://239.3.1.172:8001
CCTV3,rtp://239.3.1.193:8012
CCTV3,rtp://232.0.0.170:1234
CCTV3,rtp://226.0.2.208:9576
CCTV3,rtp://226.0.2.20:8072
CCTV4,rtp://239.3.1.105:8092
CCTV4,rtp://239.3.1.213:4220
CCTV4,rtp://239.3.1.214:4220
CCTV4,rtp://232.0.0.201:1234
CCTV4,rtp://232.0.0.53:1234
CCTV4,rtp://232.0.0.59:1234
CCTV4,rtp://226.0.2.156:9160
CCTV4,rtp://226.0.2.21:8080
CCTV5,rtp://239.3.1.173:8001
CCTV5,rtp://239.3.1.89:4120
CCTV5,rtp://232.0.0.171:1234
CCTV5,rtp://226.0.2.209:9584
CCTV5,rtp://226.0.2.22:8088
CCTV5+,rtp://239.3.1.130:8004
CCTV5+,rtp://232.0.0.93:1234
CCTV5+,rtp://226.0.2.168:9256
CCTV6,rtp://239.3.1.174:8001
CCTV6,rtp://232.0.0.172:1234
CCTV6,rtp://226.0.2.210:9592
CCTV6,rtp://226.0.2.23:8096
CCTV7,rtp://239.3.1.61:8104
CCTV7,rtp://232.0.0.136:1234
CCTV7,rtp://226.0.2.159:9184
CCTV7,rtp://226.0.2.24:8104
CCTV8,rtp://239.3.1.175:8001
CCTV8,rtp://239.3.1.85:4120
CCTV8,rtp://232.0.0.173:1234
CCTV8,rtp://226.0.2.211:9600
CCTV8,rtp://226.0.2.25:8112
CCTV9,rtp://239.3.1.62:8112
CCTV9,rtp://232.0.0.137:1234
CCTV9,rtp://226.0.2.161:9200
CCTV9,rtp://226.0.2.26:8120
CCTV10,rtp://239.3.1.63:8116
CCTV10,rtp://239.3.1.86:4120
CCTV10,rtp://232.0.0.138:1234
CCTV10,rtp://226.0.2.162:9208
CCTV10,rtp://226.0.2.27:8128
CCTV11,rtp://239.3.1.152:8120
CCTV11,rtp://232.0.0.178:1234
CCTV11,rtp://226.0.2.28:8136
CCTV12,rtp://239.3.1.64:8124
CCTV12,rtp://232.0.0.139:1234
CCTV12,rtp://226.0.2.164:9224
CCTV12,rtp://226.0.2.29:8144
CCTV13,rtp://239.3.1.124:8128
CCTV13,rtp://232.0.0.15:1234
CCTV13,rtp://226.0.2.165:9232
CCTV13,rtp://226.0.2.30:8152
CCTV14,rtp://239.3.1.65:8132
CCTV14,rtp://232.0.0.140:1234
CCTV14,rtp://226.0.2.166:9240
CCTV14,rtp://226.0.2.31:8160
CCTV15,rtp://239.3.1.153:8136
CCTV15,rtp://232.0.0.179:1234
CCTV15,rtp://226.0.2.32:8168
CCTV16,rtp://239.3.1.184:8001
CCTV16,rtp://232.0.0.182:1234
CCTV16,rtp://226.0.2.169:9264
CCTV17,rtp://239.3.1.151:8144
CCTV17,rtp://232.0.0.230:1234
CCTV17,rtp://226.0.2.170:9272
CCTV17,rtp://226.0.2.207:9568
CCTV中视购物,rtp://232.0.0.202:1234
CETV1,rtp://239.3.1.57:8152
CETV1,rtp://226.0.2.181:9360
CETV2,rtp://239.3.1.54:4120
CETV2,rtp://232.0.0.238:1234
CETV4,rtp://239.3.1.56:4120
CETV4,rtp://232.0.0.239:1234
CETV早期教育,rtp://226.0.2.99:8704
CGTN,rtp://239.3.1.215:4220
CGTN-俄语国际,rtp://232.0.0.28:1234
CGTN-法语国际,rtp://232.0.0.8:1234
CGTN-纪录(国际版),rtp://232.0.0.198:1234
CGTN-英语新闻,rtp://232.0.0.188:1234
CGTN-西班牙语国际,rtp://232.0.0.6:1234
CGTN-阿拉伯语国际,rtp://232.0.0.43:1234
CGTN俄语,rtp://239.3.1.220:4220
CGTN法语,rtp://239.3.1.218:4220
CGTN纪录,rtp://239.3.1.216:4220
CGTN西语,rtp://239.3.1.217:4220
CGTN阿语,rtp://239.3.1.219:4220
CHC动作电影,rtp://226.0.2.94:8012
CHC家庭影院,rtp://226.0.2.240:9820
CHC影迷电影,rtp://226.0.2.93:8004
IPTV3(轮播),rtp://232.0.0.118:1234
IPTV5(轮播),rtp://232.0.0.119:1234
IPTV光影,rtp://239.3.1.84:4120
IPTV军事,rtp://239.3.1.76:4120
IPTV军旅剧场,rtp://239.3.1.69:4120
IPTV军旅剧场,rtp://239.3.1.68:4120
IPTV动作影院,rtp://239.3.1.92:4120
IPTV动画,rtp://239.3.1.80:4120
IPTV喜剧剧场,rtp://239.3.1.91:4120
IPTV国学,rtp://239.3.1.77:4120
IPTV地理,rtp://239.3.1.71:4120
