4K影视,rtp://225.1.2.190:5002
4K私享家,rtp://225.1.1.156:5002
CCTV4K,rtp://239.76.254.64:9000
CCTV4K,rtp://239.76.254.101:9000
CCTV4K,rtp://238.200.200.92:5540
CCTV1,rtp://239.49.1.1:6000
CCTV1,rtp://239.76.253.151:9000
CCTV1,rtp://239.76.246.151:1234
CCTV1,rtp://239.49.8.129:6000
CCTV1,rtp://225.1.1.120:5002
CCTV1,rtp://239.77.0.14:5146
CCTV1,rtp://226.0.2.153:9136
CCTV1,rtp://233.18.204.168:5140
CCTV1,rtp://225.0.4.74:7980
CCTV1,rtp://239.253.254.77:8000
CCTV1,rtp://239.3.1.129:8008
CCTV1,rtp://239.254.96.96:8550
CCTV1,rtp://233.50.201.222:5140
CCTV1,rtp://239.125.2.66:4120
CCTV1,rtp://238.1.78.166:7200
CCTV1,rtp://239.253.92.83:8012
CCTV1,rtp://232.0.0.27:1234
CCTV1,rtp://239.94.0.1:5140
CCTV1,rtp://225.1.4.73:1102
CCTV1,rtp://239.81.0.102:4056
CCTV1,rtp://238.200.200.217:5540
CCTV1,rtp://238.200.200.133:5540
CCTV1,rtp://238.200.200.251:5540
CCTV1,rtp://238.200.200.98:5540
CCTV1,rtp://239.21.1.120:5002
CCTV1,rtp://239.16.20.1:10010
CCTV1,rtp://235.254.199.51:7980
CCTV2,rtp://239.76.253.152:9000
CCTV2,rtp://239.76.246.152:1234
CCTV2,rtp://225.1.1.133:5002
CCTV2,rtp://238.200.200.231:5540
CCTV2,rtp://238.200.200.111:5540
CCTV3,rtp://239.76.253.153:9000
CCTV3,rtp://239.76.246.153:1234
CCTV3,rtp://225.1.1.158:5002
CCTV3,rtp://238.200.200.63:5540
CCTV3,rtp://238.200.200.112:5540
CCTV4,rtp://239.76.245.195:1234
CCTV4,rtp://239.76.246.154:1234
CCTV4,rtp://239.76.253.154:9000
CCTV4,rtp://239.76.246.95:1234
CCTV4,rtp://239.76.253.95:9000
CCTV4,rtp://239.76.253.96:9000
CCTV4,rtp://239.76.246.96:1234
CCTV4,rtp://225.1.1.150:5002
CCTV4,rtp://238.200.200.232:5540
CCTV4,rtp://238.200.200.113:5540
CCTV5,rtp://239.76.253.155:9000
CCTV5,rtp://239.76.246.155:1234
CCTV5,rtp://239.76.254.214:9000
CCTV5,rtp://225.1.1.160:5002
CCTV5,rtp://238.200.200.64:5540
CCTV5,rtp://238.200.200.114:5540
CCTV5+,rtp://239.76.246.168:1234
CCTV5+,rtp://239.76.254.215:9000
CCTV5+,rtp://225.1.1.121:5002
CCTV6,rtp://239.76.253.156:9000
CCTV6,rtp://239.76.246.156:1234
CCTV6,rtp://225.1.1.195:5002
CCTV6,rtp://238.200.200.65:5540
CCTV6,rtp://238.200.200.115:5540
CCTV7,rtp://239.76.253.157:9000
CCTV7,rtp://239.76.246.157:1234
CCTV7,rtp://225.1.1.138:5002
