4K测试,rtp://239.16.20.238:12380
CCTV1,rtp://239.16.20.1:10010
CCTV1,rtp://239.16.10.1:2000
CCTV1,rtp://239.16.10.36:2000
CCTV2,rtp://239.16.20.2:10020
CCTV2,rtp://239.16.10.127:2000
CCTV3,rtp://239.16.20.3:10030
CCTV3,rtp://239.16.10.2:2000
CCTV3,rtp://239.16.20.253:12530
CCTV4,rtp://239.16.20.4:10040
CCTV4,rtp://239.16.10.128:2000
CCTV5,rtp://239.16.20.53:10530
CCTV5,rtp://239.16.10.132:2000
CCTV5+,rtp://239.16.20.5:10050
CCTV5+,rtp://239.16.10.3:2000
CCTV6,rtp://239.16.20.6:10060
CCTV6,rtp://239.16.10.101:2000
CCTV7,rtp://239.16.20.51:10510
CCTV7,rtp://239.16.10.130:2000
CCTV8,rtp://239.16.20.8:10080
CCTV8,rtp://239.16.10.102:2000
CCTV9,rtp://239.16.20.9:10090
CCTV9,rtp://239.16.10.103:2000
CCTV10,rtp://239.16.20.10:10100
CCTV10,rtp://239.16.10.108:2000
CCTV11,rtp://239.16.20.11:10110
CCTV11,rtp://239.16.10.109:2000
CCTV12,rtp://239.16.20.12:10120
CCTV12,rtp://239.16.10.110:2000
CCTV13,rtp://239.16.20.13:10130
CCTV13,rtp://239.16.10.111:2000
CCTV14,rtp://239.16.10.112:2000
CCTV15,rtp://239.16.20.15:10150
CCTV15,rtp://239.16.10.113:2000
CCTV16,rtp://239.16.20.34:10340
CCTV17,rtp://239.16.20.7:10070
CCTV17,rtp://239.16.10.129:2000
CCTV14720,rtp://239.16.20.14:10140
CETV-1,rtp://239.16.20.78:10780
CETV-1,rtp://239.16.10.12:2000
CGTN,rtp://239.16.20.252:12520
CGTN,rtp://239.16.10.175:2000
NNM家庭理财,rtp://239.16.20.70:10700
SiTV东方财经,rtp://239.16.20.64:10640
SiTV东方财经,rtp://239.16.10.235:2000
SiTV乐游,rtp://239.16.20.111:11110
SiTV动漫秀场,rtp://239.16.20.40:10400
SiTV动漫秀场,rtp://239.16.10.234:2000
SiTV极速汽车,rtp://239.16.20.113:11130
SiTV欢笑剧场 720,rtp://239.16.20.39:10390
SiTV欢笑剧场 720,rtp://239.16.10.233:2000
SiTV法治天地,rtp://239.16.20.156:11560
SiTV游戏风云,rtp://239.16.20.112:11120
SiTV生活时尚,rtp://239.16.20.114:11140
SiTV都市剧场,rtp://239.16.20.38:10380
SiTV都市剧场,rtp://239.16.10.232:2000
SiTV金色学堂,rtp://239.16.20.115:11150
三门峡新闻综合,rtp://239.16.20.145:11450
上海哈哈炫动 720,rtp://239.16.20.106:11060
上蔡-1,rtp://239.16.10.97:2000
东南卫视,rtp://239.16.20.82:10820
东南卫视,rtp://239.16.10.16:2000
东方卫视,rtp://239.16.20.73:10730
东方卫视,rtp://239.16.10.7:2000
中华特产,rtp://239.16.20.132:11320
中央新影老故事,rtp://239.16.20.133:11330
临颍综合,rtp://239.16.10.180:2000
义马电视台,rtp://239.16.20.109:11090
义马电视台,rtp://239.16.20.236:12360
书画频道,rtp://239.16.20.130:11300
云南卫视,rtp://239.16.20.85:10850
云南卫视,rtp://239.16.10.19:2000
