CCTV4K,rtp://238.255.2.139:5999
CCTV16 4K,rtp://238.255.2.145:5999
北京卫视4K,rtp://238.255.2.160:5999
北京卫视4K,rtp://238.255.2.149:5999
东方卫视4K,rtp://238.255.2.124:5999
东方卫视4K,rtp://238.255.2.123:5999
广东卫视4K,rtp://238.255.2.46:5999
广东卫视4K,rtp://238.255.2.109:5999
深圳卫视4K,rtp://238.255.2.110:5999
深圳卫视4K,rtp://238.255.2.45:5999
湖南卫视4K,rtp://238.255.2.113:5999
湖南卫视4K,rtp://238.255.2.114:5999
山东卫视4K,rtp://238.255.2.130:5999
山东卫视4K,rtp://238.255.2.138:5999
四川卫视4K,rtp://238.255.2.129:5999
四川卫视4K,rtp://238.255.2.125:5999
浙江卫视4K,rtp://238.255.2.122:5999
浙江卫视4K,rtp://238.255.2.121:5999
江苏卫视4K,rtp://238.255.2.118:5999
江苏卫视4K,rtp://238.255.2.119:5999
CCTV1HD,rtp://238.255.2.91:5999
CCTV2HD,rtp://238.255.2.11:5999
CCTV3HD,rtp://238.255.2.133:5999
CCTV4HD,rtp://238.255.2.92:5999
CCTV4欧洲HD,rtp://238.255.2.213:5999
CCTV4美洲HD,rtp://238.255.2.214:5999
CCTV5HD,rtp://238.255.2.134:5999
CCTV5+HD,rtp://238.255.2.185:5999
CCTV6HD,rtp://238.255.2.135:5999
CCTV7HD,rtp://238.255.2.12:5999
CCTV8HD,rtp://238.255.2.136:5999
CCTV9HD,rtp://238.255.2.155:5999
CCTV10HD,rtp://238.255.2.13:5999
CCTV11HD,rtp://238.255.2.14:5999
CCTV12HD,rtp://238.255.2.15:5999
CCTV13HD,rtp://238.255.2.16:5999
CCTV14HD,rtp://238.255.2.17:5999
CCTV15HD,rtp://238.255.2.18:5999
CCTV17HD,rtp://238.255.2.137:5999
CETV1HD,rtp://238.255.2.105:5999
CETV4HD,rtp://238.255.2.222:5999
CETV早期教育HD,rtp://238.255.2.143:5999
CGTNHD,rtp://238.255.2.207:5999
CGTNHD,rtp://238.255.2.146:5999
CGTN阿语HD,rtp://238.255.2.211:5999
CGTN俄语HD,rtp://238.255.2.210:5999
CGTN西语HD,rtp://238.255.2.209:5999
CGTN法语HD,rtp://238.255.2.208:5999
第一剧场HD,rtp://238.255.2.25:5999
风云剧场HD,rtp://238.255.2.28:5999
风云足球HD,rtp://238.255.2.29:5999
风云音乐HD,rtp://238.255.2.24:5999
世界地理HD,rtp://238.255.2.26:5999
怀旧剧场HD,rtp://238.255.2.33:5999
兵器科技HD,rtp://238.255.2.34:5999
女性时尚HD,rtp://238.255.2.27:5999
高尔夫网球HD,rtp://238.255.2.223:5999
央视台球HD,rtp://238.255.2.224:5999
央视文化精品HD,rtp://238.255.2.32:5999
天元围棋HD,rtp://238.255.2.7:5999
卫生健康HD,rtp://238.255.2.144:5999
重庆卫视HD,rtp://238.255.2.78:5999
江苏卫视HD,rtp://238.255.2.104:5999
浙江卫视HD,rtp://238.255.2.100:5999
东方卫视HD,rtp://238.255.2.98:5999
深圳卫视HD,rtp://238.255.2.61:5999
北京卫视HD,rtp://238.255.2.81:5999
山东卫视HD,rtp://238.255.2.97:5999
天津卫视HD,rtp://238.255.2.99:5999
贵州卫视HD,rtp://238.255.2.1:5999
贵州卫视HD,rtp://238.255.2.147:5999
四川卫视HD,rtp://238.255.2.76:5999
云南卫视HD,rtp://238.255.2.63:5999
黑龙江卫视HD,rtp://238.255.2.96:5999
安徽卫视HD,rtp://238.255.2.101:5999
