===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-06 17:30:45
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
---------------------------------------------------------------------------
112.30.73.119:9901        | aCCTV2          |   3.99 Mbps |  97%
112.30.73.119:9901        | sCCTV10科教       |   2.21 Mbps |  30%
39.164.174.149:9901       | CCTV10          |    4.4 Mbps |   0%
39.164.174.149:9901       | CCTV9           |   6.25 Mbps |  62%
61.173.159.249:9003       | CCTV5           |   0.22 Mbps | 100%
61.173.159.249:9003       | 上海新闻            |   0.31 Mbps | 100%
61.143.43.2:9901          | CCTV8电视剧        |   3.12 Mbps | 100%
61.143.43.2:9901          | 河南卫视            |   4.12 Mbps |   6%
103.114.90.82:9901        | CCTV4           |   3.89 Mbps |   0%
171.43.64.40:9901         | 上海卫视            |   6.27 Mbps |  90%
171.43.64.40:9901         | 甘肃卫视            |   4.37 Mbps |   0%
120.196.235.42:9901       | 央视文化            |   0.17 Mbps | 100%
120.196.235.42:9901       | 西藏卫视            |   0.36 Mbps | 100%
39.164.164.132:9901       | 深圳卫视            |   3.26 Mbps | 100%
39.164.164.132:9901       | 广东卫视            |   1.87 Mbps | 100%
113.141.220.55:9901       | 重庆卫视            |   1.57 Mbps |   0%
113.141.220.55:9901       | 陕西卫视            |   2.94 Mbps |  62%
59.175.155.185:7777       | CCTV11          |   0.09 Mbps | 100%
59.175.155.185:7777       | 河南卫视            |   0.32 Mbps | 100%
144.52.161.141:9901       | 临沂公共            |   0.26 Mbps | 100%
218.1.208.13:7777         | 湖北卫视            |   0.09 Mbps | 100%
218.1.208.13:7777         | CCTV5+          |   0.27 Mbps | 100%
171.38.144.4:9003         | 浙江卫视            |   2.65 Mbps | 100%
171.38.144.4:9003         | 炫动卡通            |   0.55 Mbps | 100%
222.89.32.155:85          | 湖南卫视            |    8.0 Mbps |  70%
222.89.32.155:85          | 影视剧场1           |   7.58 Mbps |  94%
123.154.237.18:9901       | CCTV7           |   3.77 Mbps | 100%
123.154.237.18:9901       | 北京卫视            |   3.68 Mbps | 100%
59.175.155.147:7777       | 湖南卫视            |   2.88 Mbps | 100%
59.175.155.147:7777       | CGTN            |   0.93 Mbps | 100%
125.42.148.186:9901       | CCTV10          |   0.87 Mbps | 100%
125.42.148.186:9901       | CCTV13新闻        |   0.52 Mbps | 100%
61.136.172.236:9901       | CCTV11戏曲        |   0.05 Mbps | 100%
61.136.172.236:9901       | CCTV1综合         |   0.06 Mbps | 100%
120.70.60.179:9901        | CCTV5           |   5.49 Mbps |   0%
120.70.60.179:9901        | CCTV8           |    6.1 Mbps |  49%
171.14.89.119:9901        | 吉林卫视            |   0.18 Mbps | 100%
171.14.89.119:9901        | 移动戏曲            |   0.18 Mbps | 100%
183.131.110.207:85        | 中央13新闻          |   3.22 Mbps |  86%
183.131.110.207:85        | 北京卫视            |   3.18 Mbps |  97%
219.137.203.102:9901      | CCTV11戏曲        |   1.69 Mbps |  99%
219.137.203.102:9901      | 广东公共            |    2.0 Mbps | 100%
144.123.165.186:9901      | CCTV14少儿        |   0.63 Mbps | 100%
144.123.165.186:9901      | 东南卫视            |   0.54 Mbps | 100%
124.228.160.14:9901       | CCTV5体育         |   0.16 Mbps | 100%
124.228.160.14:9901       | 东南卫视            |   0.26 Mbps | 100%
111.120.8.205:9901        | CCTV高尔夫         |   2.87 Mbps |   1%
111.120.8.205:9901        | CCTV14少儿        |   3.26 Mbps |   9%
218.13.170.98:9901        | CCTV9纪录         |    0.3 Mbps | 100%
218.13.170.98:9901        | CCTV7国防军事       |   0.13 Mbps | 100%
119.49.187.223:85         | 浙江卫视            |   0.03 Mbps | 100%
119.49.187.223:85         | 江西卫视            |   0.04 Mbps | 100%
61.184.46.85:9901         | CCTV7           |   1.03 Mbps | 100%
61.184.46.85:9901         | 北京卫视            |   1.73 Mbps | 100%
219.137.203.226:9901      | CCTV6电影         |   1.75 Mbps |   0%
219.137.203.226:9901      | IPTV热播剧场        |   2.17 Mbps |   0%
182.91.124.224:8801       | CCTV12社会与法      |   1.24 Mbps |  49%
182.91.124.224:8801       | 天津卫视            |   0.65 Mbps | 100%
219.159.91.10:8801        | 四川卫视            |   1.25 Mbps | 100%
219.159.91.10:8801        | CCTV8电视剧        |   0.45 Mbps | 100%
114.241.111.4:85          | 贵州卫视            |   4.22 Mbps |  48%
153.0.171.163:9901        | 江西卫视            |   3.61 Mbps |   0%
153.0.171.163:9901        | 上海卫视            |   3.47 Mbps |   0%
119.49.184.228:85         | 上海卫视            |   0.25 Mbps | 100%
119.49.184.228:85         | CCTV15          |   0.28 Mbps | 100%
113.65.162.30:9901        | CCTV13新闻        |   2.51 Mbps |  52%
113.65.162.30:9901        | 广东卫视            |   3.32 Mbps | 100%
36.136.38.87:9901         | 湖北卫视            |   3.28 Mbps |   0%
36.136.38.87:9901         | 贵州卫视            |   3.46 Mbps |   0%
222.169.85.8:9901         | 中央9台            |   1.06 Mbps | 100%
222.169.85.8:9901         | 山东卫视            |   1.04 Mbps | 100%
183.62.8.58:50085         | 陕西卫视            |   3.64 Mbps |   0%
183.62.8.58:50085         | 安徽卫视            |   7.03 Mbps |  87%
59.174.119.165:7777       | 北京卫视            |   2.19 Mbps | 100%
59.174.119.165:7777       | 山东卫视            |   1.13 Mbps | 100%
218.17.33.178:53290       | 中央4             |   2.03 Mbps | 100%
218.17.33.178:53290       | 中央5             |   5.13 Mbps |  43%
113.25.252.226:9901       | 湖南卫视            |   0.67 Mbps | 100%
113.25.252.226:9901       | 黑龙江卫视           |    1.0 Mbps | 100%
49.234.31.101:7040        | CCTV5           |   0.04 Mbps | 100%
36.36.200.198:44330       | 重庆卫视            |   0.94 Mbps | 100%
36.36.200.198:44330       | CCTV6           |   0.46 Mbps | 100%
114.241.107.197:85        | CCTV6           |   0.93 Mbps | 100%
114.241.107.197:85        | 江苏卫视            |   1.78 Mbps |  11%
221.7.175.127:9901        | CCTV10          |   0.14 Mbps | 100%
221.7.175.127:9901        | 浙江卫视            |   0.15 Mbps | 100%
112.123.243.37:50085      | 湖北卫视            |   7.75 Mbps | 100%
112.123.243.37:50085      | 江苏卫视            |   7.75 Mbps |   0%
125.42.150.102:9901       | CCTV10          |   3.66 Mbps |   0%
125.42.150.102:9901       | CCTV3综艺         |    1.8 Mbps | 100%
120.198.95.220:9901       | 南方卫视            |   3.86 Mbps | 100%
120.198.95.220:9901       | 测试2             |   2.74 Mbps |  29%
113.241.133.180:85        | CCTV9           |   3.39 Mbps |  64%
113.241.133.180:85        | CCTV15          |   3.33 Mbps |  77%
183.223.157.33:85         | 江苏卫视            |   0.57 Mbps | 100%
183.223.157.33:85         | CCTV6           |   2.74 Mbps | 100%
183.11.239.36:808         | 内蒙古卫视           |   0.16 Mbps | 100%
183.11.239.36:808         | 广西卫视            |   0.11 Mbps | 100%
219.144.157.62:9901       | 嘉佳卡通            |   0.02 Mbps | 100%
121.19.134.146:808        | 兵团卫视            |   0.35 Mbps | 100%
121.19.134.146:808        | 东南卫视            |   0.34 Mbps | 100%
223.72.123.44:85          | BTV新闻           |   5.73 Mbps |  85%
223.72.123.44:85          | 河南卫视            |   8.12 Mbps |  92%
221.205.21.126:9003       | 江苏卫视            |   3.28 Mbps | 100%
221.205.21.126:9003       | 辽宁卫视            |   4.43 Mbps |   0%
182.91.124.61:8801        | 东南卫视            |   2.82 Mbps |  22%
182.91.124.61:8801        | 贵州卫视            |   2.43 Mbps |   0%
180.165.12.42:50001       | CCTV4           |    0.2 Mbps | 100%
180.165.12.42:50001       | 贵州卫视            |   0.23 Mbps | 100%
60.26.16.53:85            | CCTV11          |   3.43 Mbps | 100%
60.26.16.53:85            | 甘肃卫视            |   1.91 Mbps |  96%
171.43.64.177:9901        | 湖北经视            |   2.98 Mbps |   0%
171.120.251.9:9003        | 河北卫视            |   8.32 Mbps |  94%
171.120.251.9:9003        | CCTV5+          |   8.48 Mbps |   0%
1.194.245.166:9003        | 陕西卫视            |   5.29 Mbps |   7%
1.194.245.166:9003        | 河南电视剧道          |   3.59 Mbps |  70%
124.116.183.146:9901      | CCTV10科教        |   0.62 Mbps | 100%
124.116.183.146:9901      | 黑龙江卫视           |   1.16 Mbps | 100%
122.224.58.42:85          | 辽宁卫视            |   2.55 Mbps | 100%
122.224.58.42:85          | CCTV7           |   2.17 Mbps | 100%
116.77.33.98:44330        | CCTV7军农         |   1.85 Mbps | 100%
116.77.33.98:44330        | 凤凰卫视中文台         |   1.22 Mbps | 100%
222.214.208.34:59901      | 湖北卫视            |   7.59 Mbps |  76%
222.214.208.34:59901      | CCTV15音乐        |   8.26 Mbps |  92%
115.48.162.174:9901       | 灵宝新闻综合          |   0.72 Mbps |  18%
115.48.162.174:9901       | 中国教育            |   7.93 Mbps |  92%
101.66.195.146:9901       | 东方卫视            |    4.0 Mbps |   0%
101.66.195.146:9901       | 河北卫视            |    1.7 Mbps | 100%
101.66.195.172:9901       | 东南卫视            |   4.57 Mbps |   0%
101.66.195.172:9901       | 山东卫视            |   2.63 Mbps | 100%
101.66.195.177:9901       | 安徽卫视            |   3.73 Mbps | 100%
101.66.195.177:9901       | 重庆卫视            |   3.88 Mbps | 100%
219.137.202.245:9901      | CCTV11戏曲        |   1.89 Mbps |   2%
219.137.202.245:9901      | 广东公共            |   1.08 Mbps | 100%
223.14.160.57:9901        | CCTV4国际         |   3.72 Mbps |   0%
223.14.160.57:9901        | 湖北卫视            |    5.3 Mbps |  68%
175.10.18.229:9999        | 河南卫视            |   6.56 Mbps |  79%
175.10.18.229:9999        | 四海钓鱼            |   6.47 Mbps |  93%
182.114.49.142:9901       | 浙江卫视            |   7.88 Mbps |   0%
182.114.49.142:9901       | 河南都市报道          |   7.67 Mbps |   0%
125.42.149.111:9901       | 东南卫视            |    1.7 Mbps | 100%
125.42.149.111:9901       | CCTV2财经         |   2.32 Mbps | 100%
125.43.246.247:9901       | 东南卫视            |   7.29 Mbps |  96%
125.43.246.247:9901       | 湖北卫视            |   7.35 Mbps |  96%
223.13.1.35:85            | CCTV7军农         |   0.04 Mbps | 100%
106.115.27.135:9901       | 东方卫视            |   8.08 Mbps |  99%
110.178.210.196:9003      | CCTV5+          |   8.45 Mbps |  93%
110.178.210.196:9003      | CCTV4           |   8.64 Mbps |  95%
110.178.210.197:9003      | CCTV13          |   9.35 Mbps |  97%
110.178.210.197:9003      | 山东卫视            |   8.26 Mbps |  83%
101.66.199.151:9901       | 浙江卫视            |   3.59 Mbps | 100%
101.66.199.151:9901       | CCTV7军农         |   3.23 Mbps | 100%
182.207.218.25:999        | 动作电影            |   2.14 Mbps | 100%
182.207.218.25:999        | 河北卫视            |   8.03 Mbps |  98%
36.40.237.165:9999        | CCTV5体育         |   3.16 Mbps |  41%
36.40.237.165:9999        | 黑龙江卫视           |   8.43 Mbps |  92%
221.13.232.126:9901       | CCTV5体育         |   7.63 Mbps |   0%
1.25.137.51:9901          | CCTV8电视剧        |   4.64 Mbps |  54%
116.179.159.224:9003      | 宁夏卫视            |    4.9 Mbps |   0%
116.179.159.224:9003      | 风云剧场            |   3.06 Mbps | 100%
42.231.62.134:9901        | 青海卫视            |   4.03 Mbps |   0%
42.231.62.134:9901        | CCTV10          |   4.77 Mbps |  22%
106.115.26.73:9901        | 北京卫视            |   6.43 Mbps |  75%
101.66.198.39:9901        | 黑龙江卫视           |   3.02 Mbps | 100%
101.66.198.39:9901        | 河南卫视            |   0.76 Mbps | 100%
101.66.198.99:9901        | 贵州卫视            |    1.6 Mbps | 100%
101.66.198.99:9901        | CCTV5体育         |   0.76 Mbps | 100%
101.66.198.100:9901       | CCTV2财经         |    3.1 Mbps | 100%
101.66.198.100:9901       | 山东卫视            |   3.23 Mbps | 100%
61.185.200.60:9901        | 江西卫视            |   1.61 Mbps |  91%
61.185.200.60:9901        | CCTV13新闻        |   1.97 Mbps |  36%
106.115.25.161:9901       | 河北经济            |   2.06 Mbps | 100%
183.10.180.250:212        | 内蒙古             |   2.37 Mbps |  46%
183.10.180.250:212        | CCTV3综艺         |   1.94 Mbps |  34%
1.192.152.130:9901        | 重庆卫视            |    7.9 Mbps |  82%
1.192.152.130:9901        | 广西卫视            |   6.74 Mbps |   0%
58.46.30.253:9999         | 河北卫视            |   1.05 Mbps | 100%
58.46.30.253:9999         | 湖南电影            |   0.16 Mbps | 100%
123.12.187.8:9901         | 天津卫视            |   0.53 Mbps | 100%
123.12.187.213:9901       | 重庆卫视            |   0.16 Mbps | 100%
123.12.187.213:9901       | CCTV15          |   0.15 Mbps | 100%
113.90.244.203:85         | 江西卫视            |   7.53 Mbps |   0%
113.90.244.203:85         | CCTV10          |   7.98 Mbps |  97%
1.193.22.131:85           | CCTV7           |   5.24 Mbps |  54%
1.193.22.131:85           | 陕西卫视            |    1.6 Mbps | 100%
123.10.77.159:808         | 天津卫视            |   7.01 Mbps |   0%
123.10.77.159:808         | 热播剧场            |   2.13 Mbps |   0%
123.10.77.228:808         | 新疆卫视            |    8.0 Mbps | 100%
123.10.77.228:808         | 早教              |   2.69 Mbps |  37%
123.13.245.230:9901       | CCTV12社会与法      |   7.65 Mbps |   0%
123.13.245.230:9901       | CCTV6电影         |   7.52 Mbps |   0%
171.127.84.164:85         | 湖北卫视            |   4.53 Mbps |  24%
171.127.84.164:85         | CCTV1           |   4.36 Mbps |  18%

